Title,Price,Medium,Dimensions,Artist
Ketchup Face,Price on request,Acrylic on Canvas,24 x 24 in / 61 x 61 cm,Chima Padua
Everyone Has A Plan Until…,Price on request,Acrylic on Canvas,24 x 24 in / 61 x 61 cm,Chima Padua
A Peaceful Beatle,Price on request,Acrylic on Canvas,24 x 24 in / 61 x 61 cm,Chima Padua
Taxi Nyc,$35000,Acrylic and marker on canvas,61 x 61 cm,Chima Padua
Mrs Jones,$36000,Acrylic paint and water-based marker on canvas,61 x 61 cm,Chima Padua
The Last Dragon,$15000,Acrylic and marker on canvas,61 x 61 cm,Chima Padua
Brunch at Cartier,$15000,Acrylic and marker on canvas,61 x 61 cm,Chima Padua
Lunch at Van Cleef,$15000,Acrylic and marker on canvas,61 x 61 cm,Chima Padua
Vincent & Jules,$30000,Acrylic and marker on canvas,61 x 61 cm,Chima Padua
Ricky 'Hitman' Hatton - Print Unnumbered Edition,Price on request,Acrylic on Canvas,24 x 24 in / 61 x 61 cm,Chima Padua
